Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID	Gene name	Gene type
13	66060340	66060573	1	ENSMUSG00000114013	Gm48219	processed_pseudogene
15	91501355	91501640	-1	ENSMUSG00002076146	Gm55421	misc_RNA
19	37376855	37377800	1	ENSMUSG00000117988	Gm8663	processed_pseudogene
13	66091850	66096396	1	ENSMUSG00000113723	Vmn2r-ps100	unprocessed_pseudogene
10	20240756	20241183	-1	ENSMUSG00000111351	Gm48537	processed_pseudogene
15	91557378	91700323	1	ENSMUSG00000036273	Lrrk2	protein_coding
19	37401890	37402295	-1	ENSMUSG00000118211	Gm46649	processed_pseudogene
10	20273750	20600824	-1	ENSMUSG00000019990	Pde7b	protein_coding
19	37421357	37423104	-1	ENSMUSG00000102353	Gm38345	TEC
19	37452194	37452299	1	ENSMUSG00002075640	Gm55610	snRNA
13	66141852	66142942	1	ENSMUSG00000113653	Gm48220	processed_pseudogene
19	37453701	37460282	1	ENSMUSG00000117800	1700122C19Rik	lncRNA
13	66141863	66143214	-1	ENSMUSG00000113173	Gm48221	lncRNA
11	78853800	78875772	-1	ENSMUSG00000001123	Lgals9	protein_coding
13	66155551	66156231	1	ENSMUSG00000055763	Rybp-ps	processed_pseudogene
19	4761195	4802388	1	ENSMUSG00000067889	Sptbn2	protein_coding
13	66180023	66188061	1	ENSMUSG00000113760	Gm48222	lncRNA
13	66266854	66277507	-1	ENSMUSG00000118427	Gm50489	lncRNA
13	66311593	66312876	1	ENSMUSG00000113477	Gm45965	processed_pseudogene
13	66325161	66325914	1	ENSMUSG00000113156	Gm48223	lncRNA
13	66369192	66370284	-1	ENSMUSG00000113713	Gm48240	processed_pseudogene
13	66375133	66375387	-1	ENSMUSG00000091347	Gm10772	protein_coding
13	66388591	66388743	1	ENSMUSG00000113253	Gm48241	processed_pseudogene
8	96472688	96472823	-1	ENSMUSG00000065089	Gm26493	snoRNA
13	66392084	66599338	1	ENSMUSG00000114616	Gm26754	lncRNA
8	96479779	96479842	-1	ENSMUSG00000106145	Mir7073	miRNA
8	96483578	96483712	-1	ENSMUSG00000065211	Gm26265	snoRNA
8	96483578	96483710	-1	ENSMUSG00000105690	Gm26265	snoRNA
13	66397095	66403353	-1	ENSMUSG00000114027	Vmn2r-ps103	unprocessed_pseudogene
8	96502540	96505158	-1	ENSMUSG00000110556	Gm45762	TEC
8	96533372	96548356	1	ENSMUSG00000074136	4930513N10Rik	lncRNA
13	66427733	66427871	-1	ENSMUSG00000114239	Gm48245	processed_pseudogene
6	85564513	85679735	1	ENSMUSG00000063810	Alms1	protein_coding
13	66428950	66431965	-1	ENSMUSG00000118666	Gm46426	processed_pseudogene
13	66456202	66457194	-1	ENSMUSG00000114776	Gm18260	processed_pseudogene
4	137052870	137052925	1	ENSMUSG00002074982	Gm55831	snRNA
13	66482741	66482938	-1	ENSMUSG00000114328	Gm48246	processed_pseudogene
7	127781551	127783268	-1	ENSMUSG00000108531	Gm39091	lncRNA
4	137122610	137122987	1	ENSMUSG00000070667	Rpl31-ps10	processed_pseudogene
13	66488645	66490994	-1	ENSMUSG00000114729	C330022B21Rik	processed_pseudogene
8	96551974	96552762	1	ENSMUSG00000061104	Sap18b	protein_coding
13	66541187	66541382	-1	ENSMUSG00000114377	Gm48247	processed_pseudogene
13	66544611	66545591	-1	ENSMUSG00000114629	Gm48244	processed_pseudogene
13	66546590	66547314	1	ENSMUSG00000114825	Gm19119	processed_pseudogene
13	66560541	66560916	1	ENSMUSG00000114261	Gm48243	processed_pseudogene
7	19543534	19545797	1	ENSMUSG00000087206	Gm16175	lncRNA
13	66566173	66589179	-1	ENSMUSG00000074832	Zfp998	protein_coding
4	137128865	137137102	-1	ENSMUSG00000078520	Cela3a	protein_coding
7	127791222	127802500	-1	ENSMUSG00000108354	4931431B13Rik	lncRNA
8	96555226	96560303	-1	ENSMUSG00000110661	Gm31805	lncRNA
7	4150914	4153373	-1	ENSMUSG00000043432	Leng9	protein_coding
8	96562548	96580167	-1	ENSMUSG00000036534	Slc38a7	protein_coding
7	19550478	19552550	1	ENSMUSG00000087593	Gm16174	lncRNA
7	19580898	19581534	1	ENSMUSG00000109424	Gm44658	lncRNA
3	20276454	20276523	-1	ENSMUSG00000099105	Mir7007	miRNA
3	142199739	142228105	1	ENSMUSG00000105504	Gbp5	protein_coding
13	66602709	66603415	-1	ENSMUSG00000114343	Gm48322	processed_pseudogene
7	19585928	19592275	1	ENSMUSG00000092216	Gm19345	protein_coding
13	66639011	66639211	1	ENSMUSG00000114406	Gm48323	processed_pseudogene
13	66651224	66667951	-1	ENSMUSG00000097483	Gm26806	lncRNA
4	94830277	94867337	-1	ENSMUSG00000062627	Mysm1	protein_coding
16	32462692	32502311	1	ENSMUSG00000022791	Tnk2	protein_coding
7	127804607	127805559	-1	ENSMUSG00000030785	Cox6a2	protein_coding
13	66660259	66665668	1	ENSMUSG00000114684	Vmn2r-ps105	unprocessed_pseudogene
13	66674043	66677408	1	ENSMUSG00000114777	Gm46427	processed_pseudogene
13	66682089	66682286	1	ENSMUSG00000114685	Gm48351	processed_pseudogene
13	66697777	66699284	-1	ENSMUSG00000114434	Gm48360	processed_pseudogene
13	66714009	66714102	-1	ENSMUSG00000114645	Gm49399	processed_pseudogene
13	66720985	66723975	1	ENSMUSG00000114426	Gm10769	processed_pseudogene
13	66734874	66734980	-1	ENSMUSG00002075993	Gm55622	miRNA
13	66739977	66740077	-1	ENSMUSG00000114262	Gm49532	processed_pseudogene
7	127814788	127819960	-1	ENSMUSG00000108604	Gm44850	lncRNA
13	66769750	66770969	-1	ENSMUSG00000114814	Gm48361	processed_pseudogene
13	66817992	66846307	-1	ENSMUSG00000074830	Zfp640	transcribed_processed_pseudogene
7	4154259	4167859	-1	ENSMUSG00000063838	Cdc42ep5	protein_coding
13	66829018	66857021	1	ENSMUSG00000114327	Gm40988	lncRNA
13	66830903	66836416	-1	ENSMUSG00000114549	Vmn2r-ps106	unprocessed_pseudogene
13	66886435	66889377	-1	ENSMUSG00000114839	Gm40989	processed_pseudogene
13	66904398	66904550	-1	ENSMUSG00000114423	Gm48404	processed_pseudogene
13	92001506	92025004	-1	ENSMUSG00000021622	Ckmt2	protein_coding
17	46564457	46568241	1	ENSMUSG00000071073	Lrrc73	protein_coding
7	127833630	127837203	-1	ENSMUSG00000062944	9130023H24Rik	protein_coding
7	44771803	44773863	-1	ENSMUSG00000003429	Rps11	protein_coding
1	190981621	190983463	1	ENSMUSG00000103685	Gm37074	TEC
1	162359696	162376120	-1	ENSMUSG00000026694	Eef1aknmt	protein_coding
13	92009551	92010163	1	ENSMUSG00000082488	1700119I11Rik	lncRNA
12	3453878	3477553	-1	ENSMUSG00000071456	1110002L01Rik	lncRNA
13	92028519	92268164	-1	ENSMUSG00000021708	Rasgrf2	protein_coding
17	85264169	85331419	1	ENSMUSG00000061130	Ppm1b	protein_coding
3	20302428	20329897	-1	ENSMUSG00000011463	Cpb1	protein_coding
12	114286646	114336926	1	ENSMUSG00000121131		lncRNA
6	136778551	136781413	-1	ENSMUSG00000096010	H4c16	protein_coding
12	110440945	110452649	-1	ENSMUSG00000113585	Gm19605	lncRNA
7	4179362	4180234	-1	ENSMUSG00000082782	Gm5319	processed_pseudogene
7	4180366	4180519	1	ENSMUSG00000108641	Gm44807	processed_pseudogene
7	44772449	44772535	-1	ENSMUSG00000064767	Snord35b	snoRNA
7	4210831	4211667	1	ENSMUSG00000083309	Gm15926	unprocessed_pseudogene
6	136781679	136782213	1	ENSMUSG00000107542	Gm43969	TEC
6	85609846	85612143	1	ENSMUSG00000107370	Gm43588	TEC
7	19586022	19595224	-1	ENSMUSG00000014686	Ceacam16	protein_coding
6	85656259	85659846	1	ENSMUSG00000107278	Gm42600	TEC
6	65094277	65121892	-1	ENSMUSG00000029919	Hpgds	protein_coding
13	96215724	96217884	-1	ENSMUSG00000114133	Btf3l4b	protein_coding
3	20362571	20364079	1	ENSMUSG00000105208	Gm43525	lncRNA
13	96240971	96241070	-1	ENSMUSG00000087839	Gm23955	snRNA
13	96218562	96219410	1	ENSMUSG00000099115	Gm17190	processed_pseudogene
8	96590762	96615175	-1	ENSMUSG00000031672	Got2	protein_coding
13	56315413	56315535	1	ENSMUSG00000077799	Gm25148	snoRNA
3	20368637	20421341	-1	ENSMUSG00000054988	Agtr1b	protein_coding
13	56321517	56326698	-1	ENSMUSG00000049625	Tifab	protein_coding
12	8622155	8638094	1	ENSMUSG00000121137		lncRNA
12	76593745	76594717	-1	ENSMUSG00000112388	AI463170	lncRNA
7	19602046	19605363	-1	ENSMUSG00000109214	Gm44659	lncRNA
7	4240753	4246462	1	ENSMUSG00000070873	Lilra5	protein_coding
13	56350044	56350750	-1	ENSMUSG00000114341	Gm47104	processed_pseudogene
13	56370037	56391753	-1	ENSMUSG00000097361	4930550C17Rik	lncRNA
12	91661766	91662502	1	ENSMUSG00000120572		lncRNA
3	20445177	20446149	-1	ENSMUSG00000103573	Gm18426	processed_pseudogene
12	85571385	85572160	1	ENSMUSG00000120232		lncRNA
3	20458829	20459074	1	ENSMUSG00000106442	Gm42594	TEC
11	119994786	120042172	-1	ENSMUSG00000061306	Slc38a10	protein_coding
3	20557262	20560372	-1	ENSMUSG00000102636	Gm31466	lncRNA
10	20391073	20395514	-1	ENSMUSG00000092051	Gm17229	transcribed_processed_pseudogene
13	56398291	56399976	-1	ENSMUSG00000048904	Neurog1	protein_coding
6	136785242	136787072	1	ENSMUSG00000060032	H2aj	protein_coding
12	80988323	80992173	-1	ENSMUSG00000112880	Gm20337	lncRNA
3	20836634	20838227	-1	ENSMUSG00000103460	Gm18491	processed_pseudogene
10	20501381	20505322	1	ENSMUSG00000091730	Gm17230	processed_pseudogene
13	56436456	56444364	-1	ENSMUSG00000021508	Cxcl14	protein_coding
7	4260700	4262354	1	ENSMUSG00000082042	Gm15923	unprocessed_pseudogene
10	20631863	20707046	1	ENSMUSG00000111091	Gm48651	lncRNA
3	20842101	20842310	1	ENSMUSG00000102986	Gm38323	processed_pseudogene
12	86471841	86516795	-1	ENSMUSG00000121169		lncRNA
12	25353756	25521978	1	ENSMUSG00000113669	Gm36723	lncRNA
10	20754041	20754872	-1	ENSMUSG00000111177	Rps2-ps3	processed_pseudogene
19	4806525	4817093	1	ENSMUSG00000033760	Rbm4b	protein_coding
6	85683709	85690187	-1	ENSMUSG00000089694	Nat8f7	protein_coding
3	20858639	20860250	1	ENSMUSG00000103533	Gm18493	processed_pseudogene
10	20828446	20956328	1	ENSMUSG00000019986	Ahi1	protein_coding
3	20873785	20877853	1	ENSMUSG00000102807	Gm37480	TEC
7	79674562	79743921	1	ENSMUSG00000048897	Zfp710	protein_coding
3	142236103	142255910	1	ENSMUSG00000040253	Gbp7	protein_coding
1	191038986	191050391	-1	ENSMUSG00000037499	Nenf	protein_coding
6	136785541	136785681	-1	ENSMUSG00002076169	Gm55635	miRNA
6	65105555	65105986	1	ENSMUSG00000090939	Gm17147	processed_pseudogene
6	65127981	65128209	1	ENSMUSG00000107968	Gm44419	processed_pseudogene
6	65146148	65146941	1	ENSMUSG00000108230	Gm3549	processed_pseudogene
6	85698907	85733508	1	ENSMUSG00000090256	Alms1-ps1	unprocessed_pseudogene
15	91706890	91707426	1	ENSMUSG00000083083	Gm15382	processed_pseudogene
13	56466138	56468147	-1	ENSMUSG00000114911	Gm17878	processed_pseudogene
14	45457174	45520182	1	ENSMUSG00000049092	Gpr137c	protein_coding
13	56490238	56490341	-1	ENSMUSG00000088149	Gm24716	snRNA
15	91722468	91745636	1	ENSMUSG00000047295	Smgc	protein_coding
13	56510713	56516670	1	ENSMUSG00000074885	Gm10782	lncRNA
6	65190556	65191956	-1	ENSMUSG00000107490	Gm44058	processed_pseudogene
12	27233205	27257651	1	ENSMUSG00000120259		lncRNA
13	56586168	56622052	1	ENSMUSG00000021509	Slc25a48	protein_coding
4	94867440	94916781	1	ENSMUSG00000086251	Gm12694	lncRNA
12	91555228	91555453	1	ENSMUSG00000120869		lncRNA
4	94918200	94936607	-1	ENSMUSG00000052767	Gm12703	lncRNA
8	96597442	96599223	1	ENSMUSG00000110711	Gm45760	TEC
12	109506879	109538165	1	ENSMUSG00000021268	Meg3	lncRNA
8	96637202	96660670	1	ENSMUSG00000110634	Gm45895	lncRNA
6	65209696	65210046	-1	ENSMUSG00000108252	Gm44059	processed_pseudogene
1	191058109	191083111	1	ENSMUSG00000026627	Pacc1	protein_coding
8	96648157	96649241	1	ENSMUSG00000110506	Gm8637	processed_pseudogene
4	94927399	94927862	-1	ENSMUSG00000081030	Gm12704	processed_pseudogene
6	85709495	85742736	-1	ENSMUSG00000051262	Nat8f3	protein_coding
8	97036147	97088151	1	ENSMUSG00000110623	Gm32005	lncRNA
4	137148310	137157851	-1	ENSMUSG00000023433	Cela3b	protein_coding
8	97045115	97045246	-1	ENSMUSG00000118719	Gm22780	snoRNA
8	97098355	97130490	-1	ENSMUSG00000110633	Gm32122	lncRNA
8	97238968	97240607	1	ENSMUSG00000110717	1700047G07Rik	lncRNA
14	45510707	45512180	1	ENSMUSG00000115373	Gm49194	lncRNA
6	85720497	85720591	-1	ENSMUSG00002075608	Gm55639	miRNA
6	65224257	65224590	1	ENSMUSG00000107609	Gm20177	processed_pseudogene
8	97382757	97382847	1	ENSMUSG00002076880	Gm55832	miRNA
19	4812131	4815199	-1	ENSMUSG00000103651	Gm37206	TEC
8	97876051	97890988	-1	ENSMUSG00000110567	Gm45703	lncRNA
14	55756435	55762438	-1	ENSMUSG00000040632	Nrl	protein_coding
8	97890425	97891662	1	ENSMUSG00000110715	Gm5131	processed_pseudogene
19	4834321	4843929	-1	ENSMUSG00000094936	Rbm4	protein_coding
6	65248485	65248894	-1	ENSMUSG00000108097	Gm44060	processed_pseudogene
8	97942603	97945614	1	ENSMUSG00000110552	Gm45788	lncRNA
6	85767122	85767216	-1	ENSMUSG00000119306	Mir6375	miRNA
6	65249934	65251128	-1	ENSMUSG00000107630	Gm44061	processed_pseudogene
13	56627090	56630059	-1	ENSMUSG00000021538	Il9	protein_coding
8	97949166	97949267	1	ENSMUSG00000089539	Gm25160	snRNA
8	97982473	97982582	1	ENSMUSG00002076357	Gm55833	miRNA
8	98071308	98071616	1	ENSMUSG00000109937	Gm45247	processed_pseudogene
8	98154344	98155742	-1	ENSMUSG00000081111	Gm5913	processed_pseudogene
8	98292235	98293224	-1	ENSMUSG00000098116	Gm7191	processed_pseudogene
6	65305089	65306158	1	ENSMUSG00000108052	Gm8479	transcribed_processed_pseudogene
13	56670285	56685711	1	ENSMUSG00000035509	Fbxl21	protein_coding
8	98566680	98573899	1	ENSMUSG00000109615	Gm39231	lncRNA
8	98602786	98603152	1	ENSMUSG00000109645	Gm45246	processed_pseudogene
8	98923308	98924147	-1	ENSMUSG00000109681	Gm17997	processed_pseudogene
6	85785006	85797936	-1	ENSMUSG00000079495	Nat8f6	protein_coding
1	87781009	87872902	1	ENSMUSG00000070738	Dgkd	protein_coding
8	98950159	98951295	-1	ENSMUSG00000110194	Gm7192	processed_pseudogene
3	142253643	142254279	1	ENSMUSG00000105338	Gm43802	processed_pseudogene
8	99401709	99401834	-1	ENSMUSG00000080480	Gm23494	snRNA
8	99605358	99605529	-1	ENSMUSG00000110011	Gm29817	processed_pseudogene
3	21103729	21104412	1	ENSMUSG00000039617	Gm7488	processed_pseudogene
8	99738518	99759372	1	ENSMUSG00000089819	Gm15679	lncRNA
3	21167747	21168167	-1	ENSMUSG00000106051	Gm43160	processed_pseudogene
3	21322536	21323254	-1	ENSMUSG00000101897	Gm29137	lncRNA
3	21657974	21659672	1	ENSMUSG00000106085	Gm43675	unprocessed_pseudogene
3	21702551	21703322	1	ENSMUSG00000106460	Gm17935	processed_pseudogene
3	21756979	21766624	1	ENSMUSG00000105440	Gm31693	lncRNA
8	32304579	33374825	-1	ENSMUSG00000062991	Nrg1	protein_coding
6	85794200	85797954	-1	ENSMUSG00000079494	Nat8f5	protein_coding
4	94937271	94940459	-1	ENSMUSG00000052684	Jun	protein_coding
3	21807693	21854937	-1	ENSMUSG00000103441	7530428D23Rik	transcribed_processed_pseudogene
3	22051842	22052632	-1	ENSMUSG00000106321	Gm43674	lncRNA
6	85807370	85809064	-1	ENSMUSG00000030004	Nat8	protein_coding
3	22075361	22075793	1	ENSMUSG00000106527	Gm43671	processed_pseudogene
14	55766285	55779856	-1	ENSMUSG00000115778	Gm10876	lncRNA
3	103920575	104127690	-1	ENSMUSG00000052539	Magi3	protein_coding
14	55775326	55776611	1	ENSMUSG00000115622	Gm49117	processed_pseudogene
4	137163890	137165706	-1	ENSMUSG00000086845	Gm13010	lncRNA
6	85820962	85821441	1	ENSMUSG00000040078	Ptges3-ps	processed_pseudogene
14	45520544	45556228	-1	ENSMUSG00000021831	Ero1a	protein_coding
6	85842404	85846140	-1	ENSMUSG00000033634	Nat8f2	protein_coding
4	137180595	137182772	1	ENSMUSG00000041399	1700013G24Rik	protein_coding
13	56690277	56696315	-1	ENSMUSG00000021539	Lect2	protein_coding
19	56450072	56475184	1	ENSMUSG00000035818	Plekhs1	protein_coding
6	85866308	85866943	1	ENSMUSG00000106784	Gm43309	processed_pseudogene
6	65358089	65435134	1	ENSMUSG00000029917	Qrfprl	protein_coding
4	94950887	94951000	1	ENSMUSG00002076977	Gm55834	rRNA
4	94977320	94979656	-1	ENSMUSG00000085377	4930551L18Rik	lncRNA
4	95039977	95045740	1	ENSMUSG00000100189	Gm28096	lncRNA
4	95290215	95291027	-1	ENSMUSG00000100129	Gm29064	lncRNA
4	95372193	95375638	1	ENSMUSG00000085835	Gm12707	lncRNA
4	95412281	95412441	1	ENSMUSG00000065745	Gm25004	snRNA
13	56743350	56744455	1	ENSMUSG00000114604	2010203P06Rik	lncRNA
4	137196080	137297941	1	ENSMUSG00000028763	Hspg2	protein_coding
13	56574407	56581566	1	ENSMUSG00000110477	Gm3045	lncRNA
7	127836514	127844272	1	ENSMUSG00000042178	Armc5	protein_coding
13	33668773	33679987	1	ENSMUSG00000057726	Serpinb9g	protein_coding
13	33692110	33710294	1	ENSMUSG00000081903	Gm11387	unprocessed_pseudogene
13	33715596	33715942	-1	ENSMUSG00000081288	Gm11386	processed_pseudogene
13	33726982	33734681	1	ENSMUSG00000082722	Gm11393	unprocessed_pseudogene
13	33746469	33753300	-1	ENSMUSG00000112963	Gm6093	lncRNA
17	85335804	85371664	1	ENSMUSG00000024131	Slc3a1	protein_coding
6	65393004	65394606	1	ENSMUSG00000107584	Gm18716	processed_pseudogene
6	65409144	65410932	1	ENSMUSG00000107596	Gm18913	processed_pseudogene
13	33751777	33751988	1	ENSMUSG00000089229	Gm25043	ribozyme
13	33753004	33756069	1	ENSMUSG00000113016	Gm47916	lncRNA
6	85876033	85881866	-1	ENSMUSG00000068299	Nat8f4	protein_coding
13	33780018	33780759	-1	ENSMUSG00000113398	Gm5194	processed_pseudogene
7	4277188	4285644	1	ENSMUSG00000081723	Gm15931	unprocessed_pseudogene
13	33825608	33825766	1	ENSMUSG00000083042	Gm11388	unprocessed_pseudogene
13	33845388	33855564	1	ENSMUSG00000047889	Serpinb6d	protein_coding
7	4304347	4304713	1	ENSMUSG00000108743	Gm44881	processed_pseudogene
7	79686453	79688476	1	ENSMUSG00000108365	Gm44951	TEC
7	79712458	79725015	-1	ENSMUSG00000108714	Gm21057	lncRNA
6	85887136	85892669	-1	ENSMUSG00000057103	Nat8f1	protein_coding
7	19609667	19621890	-1	ENSMUSG00000049848	Ceacam19	protein_coding
17	28570489	28584196	-1	ENSMUSG00000037446	Tulp1	protein_coding
1	87781069	87782021	-1	ENSMUSG00000101942	Gm19582	lncRNA
13	33870440	33873491	1	ENSMUSG00000082986	Gm11389	unprocessed_pseudogene
13	33884456	33885085	-1	ENSMUSG00000097202	Gm26701	unprocessed_pseudogene
1	87792795	87793638	1	ENSMUSG00000103996	4833421G17Rik	TEC
13	33902259	33906038	1	ENSMUSG00000097931	Gm11392	unprocessed_pseudogene
1	87825262	87828254	1	ENSMUSG00000103591	Gm38365	TEC
13	33913016	33913832	-1	ENSMUSG00000097190	Gm11394	unprocessed_pseudogene
6	136790652	136805231	-1	ENSMUSG00000030216	Wbp11	protein_coding
14	45567245	45587162	1	ENSMUSG00000021832	Psmc6	protein_coding
13	33925223	33926021	1	ENSMUSG00000097054	Gm11395	unprocessed_pseudogene
1	59296065	59392152	1	ENSMUSG00000026023	Cdk15	protein_coding
13	33950903	33995585	1	ENSMUSG00000080317	Vmn2r-ps94	unprocessed_pseudogene
13	34016328	34027391	-1	ENSMUSG00000069248	Serpinb6e	protein_coding
7	79738730	79740179	-1	ENSMUSG00000108655	Gm44949	lncRNA
7	19631259	19633723	1	ENSMUSG00000108942	Gm44660	TEC
7	4340723	4348163	1	ENSMUSG00000062524	Ncr1	protein_coding
10	20906389	20909692	-1	ENSMUSG00000111006	Gm10826	TEC
13	34063799	34089691	-1	ENSMUSG00000052180	Serpinb6c	protein_coding
10	20910203	20924798	-1	ENSMUSG00000111227	Gm20149	lncRNA
10	20976459	20978125	1	ENSMUSG00000111102	Gm48189	lncRNA
10	21000834	21036883	-1	ENSMUSG00000019982	Myb	protein_coding
7	4362598	4362775	1	ENSMUSG00000108667	Gm45013	processed_pseudogene
7	112026712	112190899	1	ENSMUSG00000030770	Parva	protein_coding
13	21651217	21652679	-1	ENSMUSG00000059395	Nkapl	protein_coding
13	21661785	21669219	-1	ENSMUSG00000114702	Gm40828	lncRNA
13	21670508	21670571	-1	ENSMUSG00000088563	Gm23779	snRNA
13	21679393	21681316	1	ENSMUSG00000078139	AK157302	protein_coding
13	21688483	21690703	-1	ENSMUSG00000082396	Zfp389	transcribed_processed_pseudogene
13	21697392	21715290	-1	ENSMUSG00000063894	Zkscan8	protein_coding
19	56517599	56536675	-1	ENSMUSG00000025077	Dclre1a	protein_coding
19	30163278	30163861	1	ENSMUSG00000120075		lncRNA
19	7359902	7361737	1	ENSMUSG00000099923	1700105P06Rik	lncRNA
19	32965343	33079580	1	ENSMUSG00000117914	Gm29863	lncRNA
19	5686716	5687398	-1	ENSMUSG00000120141		lncRNA
19	9932071	9932814	1	ENSMUSG00000120136		lncRNA
19	46488490	46489097	1	ENSMUSG00000119991		lncRNA
19	35812617	35901978	-1	ENSMUSG00000094707	A830019P07Rik	lncRNA
13	21719283	21726978	-1	ENSMUSG00000048996	Or1f12	protein_coding
19	24533653	24534594	1	ENSMUSG00000117979	Gm50341	lncRNA
19	5874736	5895898	-1	ENSMUSG00000092274	Neat1	lncRNA
1	59418089	59431458	1	ENSMUSG00000099922	Gm29016	lncRNA
13	21738064	21744063	-1	ENSMUSG00000054890	Or2b7	protein_coding
1	59487024	59488661	-1	ENSMUSG00000104502	Gm37737	TEC
13	21755983	21765929	-1	ENSMUSG00000046016	Or2w2	protein_coding
1	191084172	191135469	-1	ENSMUSG00000026626	Ppp2r5a	protein_coding
10	21020993	21030273	1	ENSMUSG00000097923	Gm26577	lncRNA
10	21053526	21065081	-1	ENSMUSG00000110967	Gm40608	lncRNA
13	21795148	21798192	-1	ENSMUSG00000051258	Or2w4	protein_coding
19	12573015	12575784	1	ENSMUSG00000120104		lncRNA
9	61349873	61363229	1	ENSMUSG00000111033	Gm34322	lncRNA
10	21074000	21128013	-1	ENSMUSG00000111200	Gm33728	lncRNA
19	23113452	23114157	1	ENSMUSG00000120380		lncRNA
9	61379873	61380268	-1	ENSMUSG00000111635	Gm47240	processed_pseudogene
19	53431661	53453227	-1	ENSMUSG00000097636	Mirt1	lncRNA
9	61417005	61441529	1	ENSMUSG00000111381	Gm34424	transcribed_processed_pseudogene
10	21165118	21166127	1	ENSMUSG00000098102	Gm2467	processed_pseudogene
13	21820793	21826688	-1	ENSMUSG00000036658	Or2b6	protein_coding
9	61670366	61670724	1	ENSMUSG00000111739	Gm47241	processed_pseudogene
9	61758986	61759897	1	ENSMUSG00000110968	Gm19208	processed_pseudogene
10	21171878	21244797	1	ENSMUSG00000019977	Hbs1l	protein_coding
9	61820566	61821824	-1	ENSMUSG00000007892	Rplp1	protein_coding
13	21841050	21847556	-1	ENSMUSG00000049737	Or2w6	protein_coding
6	136804624	136817660	1	ENSMUSG00000047515	BC049715	protein_coding
3	103964316	103965457	-1	ENSMUSG00000104721	Gm42696	lncRNA
3	103985751	103986818	-1	ENSMUSG00000106371	9530097N15Rik	lncRNA
3	103999697	103999798	1	ENSMUSG00002076048	Gm55621	snRNA
3	104002760	104005196	-1	ENSMUSG00000105148	Gm42700	lncRNA
3	104021355	104023011	-1	ENSMUSG00000105083	Gm42699	lncRNA
13	21857601	21861575	-1	ENSMUSG00000108534	Or2b2b	protein_coding
3	104036740	104037577	1	ENSMUSG00000105793	Gm17956	processed_pseudogene
9	102712116	102785504	1	ENSMUSG00000032547	Ryk	protein_coding
3	104043101	104047317	-1	ENSMUSG00000106443	Gm42702	lncRNA
3	104051515	104053171	-1	ENSMUSG00000104583	Gm42701	lncRNA
19	43663572	43665615	1	ENSMUSG00000117698	BC037704	lncRNA
3	104057072	104059021	-1	ENSMUSG00000105846	Gm43258	lncRNA
6	28475138	28935161	1	ENSMUSG00000001424	Snd1	protein_coding
13	21882281	21891003	1	ENSMUSG00000108674	Or2b2	protein_coding
3	104062849	104063564	-1	ENSMUSG00000106063	C030032O16Rik	lncRNA
19	5560793	5600402	1	ENSMUSG00000109695	Gm31166	transcribed_processed_pseudogene
3	104071240	104074516	-1	ENSMUSG00000106432	Gm43259	lncRNA
3	104087928	104090357	-1	ENSMUSG00000105933	Gm43260	lncRNA
3	104094419	104097509	-1	ENSMUSG00000105818	Gm43256	lncRNA
3	104108426	104108541	1	ENSMUSG00000088479	Gm23077	snoRNA
7	112126179	112134890	-1	ENSMUSG00000085049	Parvaos	lncRNA
13	21899933	21900313	-1	ENSMUSG00000094338	H2bc13	protein_coding
3	142265787	142278970	1	ENSMUSG00000028268	Gbp3	protein_coding
13	21900592	21900984	1	ENSMUSG00000071516	H2ac13	protein_coding
15	91722531	91832447	1	ENSMUSG00000118670	Muc19	protein_coding
14	55777723	55788699	1	ENSMUSG00000040618	Pck2	protein_coding
13	21900837	21900974	-1	ENSMUSG00002076515	Gm55628	miRNA
7	19637503	19655085	-1	ENSMUSG00000040511	Pvr	protein_coding
13	21901829	21902239	1	ENSMUSG00000101355	H3c10	protein_coding
15	91858621	91861399	1	ENSMUSG00000116212	Gm18979	processed_pseudogene
19	8732153	8734311	-1	ENSMUSG00000120219		lncRNA
19	22955594	23053309	-1	ENSMUSG00000097930	C330002G04Rik	lncRNA
13	21905603	21905744	1	ENSMUSG00002075904	Gm55629	miRNA
13	21905627	21905978	-1	ENSMUSG00000080076	H2ac14-ps	unprocessed_pseudogene
13	21906214	21906737	1	ENSMUSG00000114279	H2bc14	protein_coding
15	91924240	91925479	-1	ENSMUSG00000116093	Gm3888	processed_pseudogene
15	75726668	75728077	-1	ENSMUSG00000098203	Gm9568	processed_pseudogene
13	21919234	21920007	1	ENSMUSG00000067455	H4c11	protein_coding
19	23113154	23113861	-1	ENSMUSG00000120011		lncRNA
19	5050127	5051876	-1	ENSMUSG00000120130		lncRNA
13	21934364	21934675	-1	ENSMUSG00000064288	H4c12	protein_coding
15	75734176	75739257	1	ENSMUSG00000022575	Gsdmd	protein_coding
19	19983304	20038122	-1	ENSMUSG00000118150	Gm3728	lncRNA
13	21937605	21937997	-1	ENSMUSG00000063021	H2ac15	protein_coding
19	4304059	4307705	-1	ENSMUSG00000117718	1500032F14Rik	lncRNA
17	46568777	46593952	-1	ENSMUSG00000012296	Tjap1	protein_coding
13	21937615	21937752	1	ENSMUSG00002075711	Gm55630	miRNA
13	21938293	21938673	1	ENSMUSG00000095217	H2bc15	protein_coding
