early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
SLC2A1	6678	134	3349	851	444	1239	9064	338
FAM183A	426	43	61	80	74	115	250	22
EBNA1BP2	8440	172	2443	729	479	912	6349	332
CFAP57	111	11	21	61	38	73	86	24
TMEM125	73	4	140	10	7	9	160	1
C1orf210	20	0	67	2	3	2	50	1
TIE1	38	2	8	5	2	1	15	0
MPL	0	0	0	4	0	0	2	0
CDC20	11890	244	3260	847	494	1452	7705	534
ELOVL1	881	20	389	111	35	95	848	30
MED8	3079	77	1108	410	236	437	2392	136
SZT2	644	50	182	145	154	246	337	62
HYI	2486	71	1071	419	393	435	2598	86
PTPRF	5386	176	1633	677	530	1040	3932	269
KDM4A	1532	78	715	405	313	617	1141	154
ST3GAL3	934	203	225	705	534	1076	548	336
ARTN	120	7	104	18	7	36	154	10
IPO13	612	18	247	66	45	96	423	24
DPH2	1324	11	430	64	38	127	941	42
ATP6V0B	11738	347	5574	1700	827	1883	10494	448
B4GALT2	4417	74	965	304	258	539	2993	155
CCDC24	309	30	222	92	87	143	498	30
SLC6A9	466	22	136	58	44	129	279	15
KLF17	0	0	0	0	0	0	0	0
KLF18	0	0	0	0	0	0	0	0
DMAP1	3281	98	1119	372	185	462	2296	122
ERI3	8851	301	2497	1160	804	1772	6466	485
RNF220	2466	116	735	376	281	385	2020	102
TMEM53	868	42	364	133	78	176	848	51
ARMH1	81	41	21	251	308	404	112	60
KIF2C	4902	157	1213	520	349	856	3301	258
RPS8	347455	13565	125159	45212	35734	80203	269338	19810
BEST4	275	14	80	30	27	63	375	14
PLK3	425	10	127	34	25	41	370	16
TCTEX1D4	11	2	3	1	2	0	34	0
BTBD19	63	12	34	46	42	61	88	19
PTCH2	120	36	25	85	32	53	147	48
EIF2B3	2427	124	901	564	276	576	1945	197
HECTD3	423	12	202	49	20	69	396	16
UROD	3805	105	1537	405	244	624	3377	179
ZSWIM5	302	163	82	658	519	867	179	216
HPDL	1456	23	294	21	35	132	878	16
MUTYH	1271	74	404	258	197	344	814	101
TOE1	1370	15	418	82	64	179	893	48
TESK2	82	30	95	122	81	130	98	37
CCDC163	166	3	76	7	13	8	68	3
MMACHC	404	16	109	38	22	76	242	29
PRDX1	83556	2092	34481	7579	4298	9193	65379	3035
AKR1A1	12048	403	4299	1043	848	1772	10407	594
NASP	70671	1865	20306	6985	4753	12109	46633	3481
CCDC17	18	0	9	2	1	3	15	2
GPBP1L1	2441	224	1064	710	510	1046	2393	290
TMEM69	2313	64	827	232	174	445	1733	104
IPP	1255	55	348	207	155	280	819	95
MAST2	719	114	159	542	328	489	486	171
PIK3R3	2460	391	908	1228	1010	2152	1549	859
TSPAN1	2	1	0	0	1	4	3	7
P3R3URF	0	0	0	0	0	0	0	0
POMGNT1	2503	65	845	222	169	252	2032	72
LURAP1	198	11	102	42	47	47	150	11
RAD54L	1295	38	366	130	84	216	853	82
LRRC41	3464	136	1319	591	340	653	2827	197
UQCRH	64314	1558	24791	5761	4093	8719	51544	2476
NSUN4	840	45	221	137	88	188	624	46
FAAH	192	6	43	21	11	34	198	11
DMBX1	26	0	6	4	0	2	32	0
TMEM275	0	1	0	0	0	0	0	0
KNCN	2	0	0	0	0	0	1	0
MKNK1	937	33	287	122	68	149	712	45
MOB3C	72	2	26	2	3	6	61	4
ATPAF1	4354	159	1491	593	377	746	3139	232
TEX38	1	0	2	0	1	2	4	0
EFCAB14	1454	65	637	266	167	345	1192	89
CYP4B1	1	0	0	1	0	1	1	0
CYP4A11	0	0	0	0	0	1	0	0
CYP4X1	19	1	6	6	2	5	16	0
CYP4Z1	0	1	0	3	2	5	0	1
CYP4A22	0	0	0	1	0	2	0	0
PDZK1IP1	0	0	0	0	0	0	1	0
TAL1	17	0	0	1	0	2	6	0
STIL	1142	98	368	299	192	476	838	153
CMPK1	5695	215	1980	834	516	1042	4378	286
FOXE3	49	1	154	54	18	8	15	1
FOXD2	54	2	5	3	2	1	43	4
TRABD2B	203	124	39	566	166	153	763	117
SLC5A9	3	9	1	32	24	43	2	8
SPATA6	2527	279	677	1189	737	1405	2065	406
AGBL4	164	17	13	1041	35	545	13	43
BEND5	2284	51	623	208	174	349	2199	91
ELAVL4	2797	30	98	205	450	1445	501	182
DMRTA2	4006	54	362	151	952	1387	1234	205
FAF1	3654	531	1137	2121	1404	2774	2805	835
CDKN2C	203	5	39	9	21	39	91	7
C1orf185	0	0	0	0	0	0	0	0
RNF11	2401	84	848	338	262	584	2000	133
TTC39A	66	6	92	26	20	18	95	7
EPS15	1579	181	582	677	545	1020	1124	247
OSBPL9	4234	264	1567	952	815	1457	2984	389
NRDC	10076	350	3333	1492	941	2176	6837	548
RAB3B	2065	66	1410	314	171	418	2753	96
TXNDC12	395	263	192	974	669	1351	397	394
KTI12	947	24	369	103	61	135	741	27
BTF3L4	12555	458	4220	1566	1126	2718	9425	651
ZFYVE9	1190	209	485	814	668	1036	890	270
CC2D1B	376	11	158	95	77	102	284	26
ORC1	1343	38	379	171	135	281	796	90
PRPF38A	6255	156	2038	589	370	1032	4212	248
TUT4	10359	753	3011	2540	1993	4118	6981	1108
GPX7	4853	206	957	613	457	729	4830	246
SHISAL2A	197	12	15	23	35	26	261	12
COA7	1985	30	681	157	112	273	1412	74
ZYG11B	2474	125	1155	551	425	748	1494	196
ZYG11A	30	2	17	20	8	22	46	8
ECHDC2	173	22	253	62	41	38	445	19
SCP2	6805	227	2614	814	637	1156	5113	366
PODN	3	0	4	1	1	0	2	0
SLC1A7	0	0	2	0	0	0	0	0
CPT2	1680	44	592	129	98	203	1361	71
CZIB	6613	182	2384	546	347	983	5061	263
MAGOH	16541	390	5005	1683	1005	2059	11689	558
LRP8	1330	75	313	280	137	258	1216	119
DMRTB1	3	0	1	0	0	0	1	0
GLIS1	18	3	15	17	4	6	44	1
NDC1	1468	84	519	353	243	491	1127	170
YIPF1	1474	52	632	184	126	230	1375	63
DIO1	2	2	1	11	12	11	4	5
HSPB11	8268	269	2853	948	626	1177	6361	360
LRRC42	4968	115	1652	526	352	662	4044	190
LDLRAD1	0	0	0	0	0	0	0	0
TMEM59	9388	329	3730	1206	1002	1703	8408	429
TCEANC2	560	24	239	87	78	153	418	47
CDCP2	1	0	0	0	1	1	0	0
CYB5RL	458	13	212	52	59	98	462	16
MRPL37	5342	146	2024	605	351	708	3926	293
SSBP3	7189	358	2068	1282	1035	2039	5045	546
ACOT11	183	13	72	47	17	42	142	16
FAM151A	0	0	1	2	1	6	2	1
MROH7	12	2	2	19	7	26	9	8
TTC4	441	97	156	322	193	419	342	109
PARS2	434	18	134	55	33	68	397	25
TTC22	12	0	8	3	1	5	13	3
LEXM	1	0	3	2	2	4	2	2
DHCR24	5316	85	1026	494	252	617	3642	184
TMEM61	11	0	6	4	1	3	13	0
BSND	1	1	1	0	0	0	6	1
PCSK9	750	8	104	40	19	65	295	24
USP24	1604	206	486	722	521	1017	985	278
PLPP3	2408	160	786	540	672	1427	1327	292
PRKAA2	2319	165	688	756	542	923	1722	300
FYB2	300	64	35	414	319	148	763	50
C8A	0	0	1	0	0	0	0	0
C8B	1	0	1	0	2	1	1	1
DAB1	1555	531	248	2039	1274	3337	714	887
OMA1	967	30	358	89	66	157	710	44
TACSTD2	11	0	17	2	0	1	21	0
MYSM1	1826	112	832	411	262	633	1537	156
JUN	4085	201	1074	903	458	699	3826	150
FGGY	785	88	349	399	261	530	491	174
HOOK1	1028	78	543	162	118	187	1294	57
CYP2J2	16	0	4	5	4	2	13	3
C1orf87	1	0	2	2	0	0	2	0
NFIA	1932	487	82	1517	1469	1746	3099	353
TM2D1	3519	187	1144	527	432	736	3509	242
PATJ	661	234	383	879	648	960	875	262
L1TD1	9414	85	7317	504	249	690	11182	163
KANK4	106	33	145	94	85	66	176	26
USP1	10110	290	2488	1169	759	2081	6108	495
DOCK7	3749	357	1111	1236	1022	1798	2515	512
ANGPTL3	11	1	1	6	2	8	17	2
ATG4C	1485	112	525	345	256	557	1119	157
FOXD3	294	9	88	25	13	14	932	10
ALG6	1643	75	513	185	158	280	986	101
ITGB3BP	7476	355	2124	1424	821	1622	6209	464
EFCAB7	844	92	246	252	262	450	607	99
PGM1	4716	107	1652	545	375	794	5602	224
ROR1	1460	418	742	1856	1159	2453	1462	639
UBE2U	1	0	0	1	2	3	0	1
CACHD1	4409	896	554	3346	4538	7020	3478	1615
RAVER2	867	102	253	359	322	609	472	194
JAK1	1733	174	364	585	502	806	1273	233
AK4	2355	182	689	644	281	706	4157	271
DNAJC6	108	38	67	168	189	168	87	46
LEPROT	3885	145	2110	480	349	594	3415	176
LEPR	98	31	129	157	55	97	146	41
PDE4B	399	52	91	105	216	522	179	68
SGIP1	123	24	69	119	156	286	72	57
TCTEX1D1	310	15	11	83	37	42	448	15
INSL5	0	0	0	0	0	0	1	0
WDR78	496	94	103	303	301	366	497	112
MIER1	5030	268	1550	929	694	1415	3716	417
SLC35D1	402	51	132	209	152	288	261	85
C1orf141	7	4	1	8	9	9	15	2
IL23R	0	0	1	1	1	2	0	0
IL12RB2	30	3	6	10	12	23	49	11
SERBP1	53511	1398	18809	5395	3318	8685	39873	2318
GADD45A	2252	101	1570	387	99	276	3281	116
GNG12	1834	139	559	569	340	628	1501	170
DIRAS3	96	2	21	25	16	13	74	0
WLS	12122	1299	1902	6309	4376	3770	21815	1360
RPE65	9	10	5	45	8	9	20	2
DEPDC1	3119	99	1311	427	200	560	2436	164
LRRC7	163	91	28	443	384	420	217	154
LRRC40	2833	142	946	483	339	810	1885	212
SRSF11	27921	854	9433	3273	2241	5082	20829	1427
ANKRD13C	1025	174	404	625	419	842	879	259
HHLA3	1400	42	551	212	96	415	1843	58
CTH	747	79	237	150	109	279	552	72
PTGER3	8	1	2	1	1	4	10	1
ZRANB2	12401	500	3992	1926	1385	3076	9341	719
NEGR1	423	201	25	357	366	1178	170	327
LRRIQ3	72	40	71	38	41	148	45	70
FPGT	437	65	102	116	164	346	110	75
TNNI3K	9	53	0	86	70	142	2	54
LRRC53	0	1	0	6	6	12	1	1
ERICH3	17	2	1	6	21	47	9	8
CRYZ	1581	63	600	248	190	361	34	112
TYW3	4277	212	1863	658	434	764	61	267
LHX8	85	3	25	4	14	8	63	3
SLC44A5	355	367	63	718	1257	2600	200	494
ACADM	6830	246	1663	798	677	1492	4354	390
RABGGTB	3988	99	1770	305	191	418	3156	112
MSH4	1	3	2	7	9	12	2	4
ASB17	0	0	0	0	0	0	0	0
ST6GALNAC3	885	472	297	1795	1428	3300	608	786
ST6GALNAC5	1199	356	443	1692	955	3251	760	798
PIGK	1337	112	601	349	217	470	1164	122
AK5	121	14	39	64	49	84	112	40
AC118549.1	2270	303	824	980	711	1531	1681	420
USP33	4029	262	1444	1009	766	1438	3075	369
MIGA1	751	88	352	325	228	430	684	130
NEXN	651	83	267	410	414	377	704	77
FUBP1	13283	551	3620	2144	1245	3105	9747	806
DNAJB4	1461	51	632	178	111	357	1017	54
GIPC2	14	5	11	17	12	34	24	6
PTGFR	18	3	2	0	4	7	10	0
IFI44L	307	2	8	1	44	55	23	5
IFI44	25	0	0	0	4	11	7	1
ADGRL4	35	3	25	8	2	4	28	1
ADGRL2	3524	421	1334	1825	1202	3264	2198	809
TTLL7	1726	76	332	434	344	559	1063	130
PRKACB	1370	289	477	1233	816	1577	1034	448
SAMD13	441	17	49	72	40	71	352	24
DNASE2B	2	0	0	0	0	0	6	0
RPF1	3106	105	981	345	269	522	2281	148
GNG5	45716	1100	14218	4955	2670	5918	36262	1717
SPATA1	55	14	35	76	56	91	57	21
CTBS	410	53	206	111	87	82	587	30
SSX2IP	2425	137	876	539	386	742	1624	175
LPAR3	193	4	79	6	2	14	76	5
MCOLN2	10	1	26	2	3	6	26	1
WDR63	111	17	23	58	55	55	107	13
MCOLN3	40	0	129	3	0	3	56	1
SYDE2	569	55	283	230	81	171	678	53
C1orf52	3421	94	1564	486	390	726	3053	176
BCL10	1949	56	805	294	171	449	1753	112
DDAH1	933	123	222	483	300	449	772	134
CCN1	5704	133	941	1424	424	915	5170	152
ZNHIT6	2794	104	1025	488	312	841	2000	182
COL24A1	62	36	13	44	137	439	28	20
ODF2L	4631	197	1260	630	532	1397	3718	301
CLCA2	1	0	1	0	0	0	1	0
CLCA1	0	0	0	0	1	2	1	0
CLCA4	1	0	0	0	0	0	0	0
SH3GLB1	3429	154	1259	719	482	873	2771	189
SELENOF	9013	330	3327	1180	823	1763	7767	428
HS2ST1	2031	349	580	1457	998	2038	1459	639
LMO4	6488	219	3872	941	447	1134	4330	353
PKN2	5540	494	1855	1617	1250	2831	3769	785
GTF2B	3226	121	1121	438	300	570	2621	157
KYAT3	3542	153	913	563	383	796	2675	173
RBMXL1	1366	35	495	147	111	232	981	59
GBP3	2	0	0	0	1	0	1	1
GBP1	10	1	11	4	3	1	9	0
GBP2	0	0	0	0	0	0	2	0
GBP7	0	0	0	0	0	0	0	0
GBP4	5	1	2	4	3	5	4	2
GBP5	0	0	1	0	0	0	0	0
GBP6	2	0	0	0	2	1	0	0
LRRC8B	1400	110	594	358	320	653	760	165
LRRC8C	643	54	88	332	458	892	141	123
LRRC8D	1364	233	541	662	501	1108	916	330
ZNF326	7776	251	2852	1044	798	1756	5025	468
BARHL2	34	25	2	47	36	12	462	4
ZNF644	7050	563	2176	2246	1647	3326	4689	848
HFM1	380	134	92	511	496	744	197	216
CDC7	2335	169	701	523	383	913	1333	244
TGFBR3	205	31	156	168	102	75	247	37
BRDT	0	1	1	7	1	1	0	1
EPHX4	124	7	33	22	26	45	137	9
SETSIP	35	0	11	2	0	3	22	2
BTBD8	405	48	120	98	119	204	307	45
C1orf146	0	1	0	1	0	0	0	0
GLMN	3264	196	822	691	560	1058	2239	273
RPAP2	3921	190	1085	856	721	1299	2557	306
GFI1	4	0	0	4	0	6	4	0
EVI5	2008	359	824	1352	1156	1877	1892	565
RPL5	220645	7996	85356	27543	21871	48269	187656	11806
DIPK1A	96	42	50	183	170	297	73	63
MTF2	8533	365	2850	1437	1025	2124	6440	648
TMED5	1777	62	727	248	230	455	1221	128
CCDC18	2765	159	846	684	440	982	1892	325
DR1	3929	107	1445	415	311	681	2777	157
FNBP1L	8636	664	2469	2236	1883	3817	7269	1054
BCAR3	1209	240	358	784	631	835	1121	318
DNTTIP2	6143	173	1756	713	424	987	4786	260
GCLM	1851	41	652	166	136	237	1390	90
ABCA4	28	3	84	15	13	17	13	3
ARHGAP29	220	35	977	117	58	78	496	12
ABCD3	2658	111	730	495	308	664	1552	174
F3	385	16	104	15	11	30	166	20
SLC44A3	54	14	38	64	36	55	83	23
CNN3	26652	955	8630	4204	2139	4700	18355	1424
ALG14	1291	59	383	214	149	346	884	97
TLCD4	434	22	164	85	75	132	353	36
RWDD3	159	88	64	378	282	505	138	116
PTBP2	5195	715	1622	2687	2206	5089	2485	1156
DPYD	30	37	6	96	66	125	19	44
SNX7	1981	93	885	372	294	537	2076	127
PLPPR5	109	7	22	28	25	40	128	5
PLPPR4	6	1	7	3	15	13	14	3
PALMD	213	10	39	34	291	61	372	35
FRRS1	154	13	33	57	37	89	129	26
AGL	1863	108	709	432	332	593	1526	173
SLC35A3	1262	73	535	344	235	461	1042	159
MFSD14A	102	155	45	657	389	776	117	212
SASS6	2698	124	913	408	269	767	1811	191
TRMT13	2015	79	570	258	186	437	1344	102
LRRC39	12	7	6	22	21	37	14	9
DBT	1442	85	595	213	193	314	1213	100
RTCA	2813	111	1146	425	309	584	2363	185
CDC14A	1184	219	379	855	829	1309	705	400
GPR88	11	0	1	1	3	1	0	0
VCAM1	824	14	70	92	62	208	150	37
EXTL2	4416	155	1587	612	333	892	3670	241
SLC30A7	1288	138	456	639	398	703	1186	201
DPH5	3608	128	1154	410	329	647	2992	193
S1PR1	1534	57	175	202	345	531	880	94
OLFM3	4091	288	486	1777	1753	5197	4628	740
COL11A1	3395	384	860	1971	1207	2496	2572	655
RNPC3	1316	84	392	262	217	492	1069	108
AMY2B	43	15	8	35	48	78	29	16
AMY2A	0	0	0	0	0	0	0	0
AMY1A	0	1	0	0	3	0	0	0
AMY1B	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
PRMT6	1886	43	767	183	88	211	1291	53
NTNG1	57	99	18	120	77	79	241	53
VAV3	363	56	125	295	437	584	212	163
SLC25A24	2975	125	472	531	365	596	2261	200
NBPF4	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0
FAM102B	439	88	178	236	181	288	322	103
HENMT1	503	17	97	46	45	63	534	35
PRPF38B	8455	199	2799	793	480	1259	6018	380
FNDC7	7	2	1	4	0	6	4	1
STXBP3	2391	162	984	541	409	680	2174	165
AKNAD1	63	51	6	149	138	235	56	86
GPSM2	2884	155	576	477	438	832	2026	265
CLCC1	1377	38	420	169	119	242	1203	56
WDR47	365	33	103	129	142	207	247	57
TAF13	884	40	465	175	90	214	844	57
TMEM167B	1037	38	471	165	109	228	929	54
C1orf194	440	23	50	90	142	117	403	25
KIAA1324	39	5	15	49	60	72	43	13
SARS	6015	222	2538	788	468	1150	4472	340
CELSR2	3266	89	872	284	276	459	1789	136
PSRC1	4986	109	1393	379	240	757	3541	248
MYBPHL	20	2	15	5	1	2	13	3
SORT1	1660	83	629	363	280	573	1224	156
PSMA5	15090	363	5092	1507	905	1935	12445	589
SYPL2	6	0	6	1	1	3	6	1
ATXN7L2	299	5	86	36	16	57	214	15
CYB561D1	106	7	46	19	30	35	127	7
AMIGO1	169	5	74	16	18	20	140	6
GPR61	11	2	11	6	0	1	26	1
GNAI3	10007	301	3240	1261	952	1839	7635	499
GNAT2	3	0	0	0	0	3	0	1
AMPD2	940	22	317	92	61	99	1085	37
GSTM4	1218	47	343	138	120	190	965	69
GSTM2	195	18	79	35	53	108	227	15
GSTM1	2	11	61	12	30	53	87	15
GSTM5	4	11	9	1	3	118	54	1
GSTM3	5841	226	1361	658	525	1034	4329	338
EPS8L3	0	0	0	0	0	2	0	0
CSF1	157	3	60	40	20	27	164	9
AHCYL1	8263	299	3539	1048	637	1336	6367	462
STRIP1	1014	46	380	133	96	197	811	66
ALX3	22	2	10	4	9	6	24	2
UBL4B	0	0	0	0	0	0	0	0
SLC6A17	2	1	1	0	1	1	1	1
KCNC4	188	16	93	29	14	36	154	21
RBM15	953	31	300	125	81	297	655	53
SLC16A4	642	52	134	139	155	270	350	91
LAMTOR5	21597	511	6783	2333	1697	2984	18750	802
PROK1	3	0	0	0	0	1	6	1
KCNA10	0	0	0	0	0	0	0	0
KCNA2	4	0	6	1	0	0	0	0
KCNA3	31	3	3	0	1	3	20	1
CD53	11	0	9	1	1	2	12	0
LRIF1	1902	100	605	395	166	506	1242	108
DRAM2	2713	148	997	474	318	582	2965	183
CEPT1	1282	71	461	324	199	432	983	110
DENND2D	16	3	10	1	2	4	30	2
CHI3L2	0	0	1	3	0	1	8	0
CHIA	0	0	0	1	0	0	0	0
PIFO	898	30	402	333	153	115	1793	33
OVGP1	12	1	8	6	2	5	19	3
WDR77	4840	37	1680	204	105	282	3182	84
ATP5PB	13838	470	4532	1799	1159	2453	11164	791
C1orf162	13	0	13	4	0	3	19	1
TMIGD3	0	1	0	3	4	5	3	0
ADORA3	1	0	0	0	1	0	0	0
RAP1A	3029	179	936	679	446	889	2325	295
INKA2	181	22	202	94	42	57	175	37
DDX20	1997	51	625	194	133	314	1391	73
KCND3	19	6	8	17	15	11	25	4
CTTNBP2NL	2515	185	893	723	486	861	1898	239
WNT2B	1313	117	383	936	499	234	1775	124
ST7L	1307	124	381	505	366	631	1082	181
CAPZA1	8796	331	3040	1304	832	1648	6186	442
MOV10	714	42	280	189	127	224	633	48
RHOC	5187	219	2170	766	504	769	4845	263
PPM1J	117	6	119	15	6	17	250	2
TAFA3	15	0	5	3	0	4	15	0
SLC16A1	8834	212	2866	739	479	1197	6238	423
LRIG2	1084	84	411	340	268	505	854	119
MAGI3	1578	323	480	1115	966	1624	915	489
PHTF1	3613	242	987	779	575	1378	2418	431
RSBN1	3562	131	1113	456	394	799	2817	228
PTPN22	0	1	0	1	5	4	0	1
BCL2L15	18	0	1	4	3	5	3	2
AP4B1	387	3	109	51	36	65	254	28
DCLRE1B	771	8	234	57	46	108	549	29
HIPK1	1704	100	897	322	224	444	1272	101
OLFML3	2121	12	1023	135	27	52	2685	27
SYT6	1148	9	415	35	66	207	709	29
TRIM33	4871	329	1608	1273	928	1796	3457	516
BCAS2	8945	244	2903	1024	751	1594	7289	364
DENND2C	59	4	33	22	17	24	54	2
AMPD1	0	0	0	0	0	3	0	0
NRAS	3085	98	1191	472	261	788	2604	212
CSDE1	24866	860	9440	3122	1737	4636	20148	1253
SIKE1	2864	131	1281	433	256	687	2998	167
SYCP1	10	0	15	4	0	6	11	0
TSHB	0	0	0	0	1	0	0	0
TSPAN2	511	38	463	229	140	226	536	33
NGF	23	5	38	19	15	17	58	3
VANGL1	441	24	187	74	38	76	571	26
CASQ2	1	0	2	0	1	2	9	0
NHLH2	170	14	57	21	4	8	126	6
SLC22A15	39	24	28	98	62	91	35	40
MAB21L3	0	1	0	0	0	0	0	1
ATP1A1	8196	158	2973	746	340	909	6105	278
CD58	822	48	154	218	151	228	521	54
IGSF3	813	40	285	115	91	256	435	60
CD2	1	0	0	0	0	0	8	0
PTGFRN	1024	48	411	243	209	321	759	111
CD101	22	2	9	15	32	29	15	24
TTF2	4329	119	1354	424	226	585	2679	149
TRIM45	479	15	180	76	36	81	386	26
VTCN1	12	1	7	12	6	13	12	2
MAN1A2	4639	267	1236	1263	955	1849	3479	461
TENT5C	27	3	10	16	5	16	17	9
GDAP2	967	90	402	327	209	399	777	97
WDR3	2011	79	638	229	170	392	1414	108
SPAG17	194	55	72	184	312	41	377	90
TBX15	1	0	1	4	0	6	3	2
WARS2	774	81	303	257	177	458	631	144
HAO2	2	1	0	1	1	2	4	0
HSD3B2	0	0	1	1	0	2	0	0
HSD3B1	0	0	0	0	0	0	0	0
ZNF697	303	17	111	79	71	116	209	33
PHGDH	30907	767	8584	3127	1339	3661	19599	929
HMGCS2	6	0	8	0	6	9	10	3
REG4	0	0	2	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
NOTCH2	2178	196	605	758	537	836	1870	272
SEC22B	1338	129	533	467	317	716	987	182
AC253572.1	0	1	0	1	0	0	1	0
NBPF26	55	22	4	124	30	48	40	26
PPIAL4A	6	0	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	1	0
FAM72B	211	8	59	15	4	22	168	4
SRGAP2C	1188	90	328	319	182	422	776	162
HIST2H3PS2	4	0	7	7	2	1	3	0
FAM72C	348	2	67	7	9	20	254	6
IGKV1OR1-1	0	0	0	0	0	0	0	0
PPIAL4E	0	0	0	0	0	0	0	0
NBPF15	508	30	91	154	110	188	289	52
PPIAL4F	0	0	0	0	0	0	0	0
SRGAP2B	405	88	95	427	330	343	244	159
FAM72D	406	6	55	19	10	31	307	10
PPIAL4D	0	0	0	0	0	0	0	0
NBPF20	175	5	14	8	12	16	71	3
GPR89A	942	50	215	221	141	180	726	68
PDZK1	6	5	1	50	43	89	9	18
CD160	45	5	8	23	12	12	49	8
RNF115	6778	203	1709	1224	898	1231	4571	304
POLR3C	2003	57	471	351	251	346	1594	83
NUDT17	263	4	65	53	38	28	273	15
PIAS3	1533	38	436	177	137	197	1283	45
ANKRD35	541	25	367	188	67	220	839	60
ITGA10	8	3	2	3	3	3	3	2
PEX11B	959	24	213	161	145	155	768	44
RBM8A	33229	565	7733	3472	2017	3557	26029	972
LIX1L	1879	49	466	345	296	456	1403	113
ANKRD34A	8	1	2	5	1	4	32	0
POLR3GL	2580	100	888	515	518	525	2913	163
TXNIP	3679	147	849	696	824	1225	5495	236
HJV	5	3	2	4	2	2	10	0
NBPF10	141	5	30	48	35	27	71	16
NOTCH2NLA	16	10	0	46	33	40	4	16
PPIAL4H	2	0	0	1	0	0	2	0
NBPF12	238	68	25	185	200	172	180	35
PRKAB2	1485	43	415	283	172	238	1464	60
FMO5	44	3	17	57	43	44	36	3
CHD1L	4331	3	917	39	30	48	3389	10
BCL9	3013	183	597	983	798	1117	1879	258
ACP6	980	29	160	156	137	171	947	53
GJA5	67	1	24	3	2	6	43	2
GJA8	0	0	0	0	0	0	0	0
GPR89B	639	28	166	171	111	127	522	36
NBPF11	553	34	100	218	191	222	324	62
PPIAL4G	0	0	1	2	1	1	1	0
NBPF14	387	11	52	92	77	64	321	43
NOTCH2NLB	1	0	0	1	1	0	4	0
NUDT4B	0	0	0	3	1	7	0	0
PDE4DIP	1653	82	251	482	331	242	1370	65
NBPF9	207	16	35	112	65	99	156	40
NOTCH2NLC	67	32	12	146	114	79	51	28
NBPF19	5	4	1	55	46	70	6	19
PPIAL4C	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	1	0	0	0	0
HIST2H2BF	310	24	63	45	32	94	218	19
HIST2H3D	23	0	3	0	0	2	15	0
HIST2H4A	12	0	1	0	0	1	15	0
HIST2H3C	0	0	0	0	0	0	0	2
HIST2H2AA3	0	0	0	0	0	0	0	0
HIST2H2AA4	0	30	0	67	100	83	0	21
HIST2H3A	0	0	0	0	0	0	0	1
HIST2H4B	0	0	0	11	7	29	0	5
HIST2H2BE	331	21	57	27	53	52	358	17
HIST2H2AC	3768	40	389	203	184	225	1869	49
HIST2H2AB	264	8	41	24	15	59	136	12
BOLA1	2097	33	369	199	170	196	1825	61
SV2A	3440	64	1108	421	279	359	2524	83
SF3B4	8171	121	1921	640	433	770	6858	188
MTMR11	229	9	78	22	24	23	313	7
OTUD7B	1559	98	413	478	390	461	1139	154
VPS45	2013	119	477	696	581	665	1444	179
PLEKHO1	15302	216	2440	1215	1336	1566	9327	373
ANP32E	38297	652	8428	3476	2847	4943	27943	1287
CA14	4808	150	1844	572	266	462	4943	97
APH1A	9856	167	2485	926	582	973	9116	264
C1orf54	4223	226	1251	835	722	839	4172	262
CIART	661	18	216	101	54	69	1132	23
MRPS21	34006	586	7269	3697	2317	3526	26642	998
PRPF3	3116	98	701	585	390	547	2432	149
RPRD2	4097	329	814	1676	1254	1600	2828	473
TARS2	2224	48	448	299	177	213	1726	65
ECM1	45	1	35	8	0	8	75	2
ADAMTSL4	108	4	12	14	14	18	140	6
MCL1	9617	200	1905	1361	865	1412	7036	284
ENSA	18475	491	4897	2990	1835	2643	14631	709
GOLPH3L	2678	74	693	373	277	391	2296	101
HORMAD1	0	1	0	0	0	1	0	0
CTSS	9	1	9	9	6	9	11	5
CTSK	342	11	72	162	45	43	641	20
ARNT	1646	110	401	629	474	503	1420	147
CTXND2	17	4	0	4	7	2	11	1
SETDB1	2117	111	470	591	507	670	1689	176
CERS2	3945	79	1437	464	239	321	4171	76
ANXA9	46	4	72	7	4	17	82	2
MINDY1	376	15	103	53	76	77	283	23
PRUNE1	1178	33	302	126	89	136	943	30
BNIPL	65	3	39	13	7	13	72	5
C1orf56	2473	41	678	296	247	209	2071	62
CDC42SE1	4173	69	1129	415	322	443	3162	128
MLLT11	15501	294	3235	1492	1122	1649	9878	445
GABPB2	1099	35	208	225	200	241	683	70
SEMA6C	751	21	178	96	98	115	711	21
TNFAIP8L2	0	0	0	1	0	1	2	0
SCNM1	4261	92	858	505	374	489	3556	129
LYSMD1	555	17	132	66	40	58	397	8
TMOD4	1	0	0	0	0	0	1	0
VPS72	9147	161	1807	927	676	946	7407	300
PIP5K1A	2893	226	838	1320	875	1062	2518	318
PSMD4	18699	384	4306	2189	1487	2011	15121	580
ZNF687	1064	15	235	107	85	107	800	21
PI4KB	1723	38	405	261	172	179	1358	68
RFX5	1415	26	419	121	92	203	1133	41
